,fdi,gdp,gcf,trade,inflation
1996-06-30,8.77452426,12.898,12.2507222483936,14.119939011895,9.32297
1996-09-30,8.73104858,12.900,12.2628472894979,18.5129926975473,8.57143
1996-12-31,8.91961148,12.907,12.2708259204321,15.2118818099364,9.19540
1997-03-31,8.94168531,12.910,12.2841208041476,15.4459941189172,10.63158
1997-06-30,9.06597910,12.912,12.2822393250015,15.0619200157754,7.71574
1997-09-30,8.90036167,12.917,12.2868689722863,15.9012814535088,5.06823
1997-12-31,8.89302344,12.924,12.2992339022217,15.6849715526662,5.55024
1998-03-31,8.91473443,12.931,12.3019001242983,15.9908370437639,9.03901
1998-06-30,8.95669656,12.936,12.3101982317922,15.3938905333359,10.36758
1998-09-30,8.73462384,12.944,12.3184023213906,18.3708356542712,15.39889
1998-12-31,8.56242373,12.950,12.3285746230623,17.3516132901328,17.86038
1999-03-31,8.82493247,12.957,12.3368386519715,17.7097543213582,8.98778
1999-06-30,8.65511922,12.968,12.3588788226702,17.9697857996523,7.08796
1999-09-30,8.81185640,12.973,12.367574101897,18.2240215535919,2.81350
1999-12-31,8.60210342,12.981,12.3688076931233,18.967103369765,0.46154
2000-03-31,8.82366330,12.990,12.3834460585023,20.5016526337167,3.68295
2000-06-30,9.03553380,12.990,12.3734472867854,19.9822358657769,5.26316
2000-09-30,8.97306779,12.996,12.3726255402247,20.6528275737669,4.14386
2000-12-31,8.95074932,12.996,12.368553902393,21.8343360798746,2.98622
2001-03-31,9.04656930,12.998,12.3642408035433,21.8616916252822,2.93436
2001-06-30,9.08061927,13.007,12.3916494760411,21.7943694207033,2.72727
2001-09-30,9.24745770,13.013,12.3888529593643,20.8973002117596,4.65465
2001-12-31,9.14203889,13.023,12.4065355161638,20.1327708241566,4.75836
2002-03-31,9.24700054,13.026,12.4148776222787,20.8960719297435,5.10128
2002-06-30,9.22163329,13.029,12.4128076980137,23.6258563411268,4.49853
2002-09-30,9.02938378,13.031,12.42370978435,24.5339134648842,4.01722
2002-12-31,9.05082813,13.032,12.4390667820176,24.570418388417,3.61959
2003-03-31,9.06994915,13.041,12.4404709134751,25.2171359966959,3.78301
2003-06-30,8.93244332,13.052,12.4573842757855,24.1081497108185,4.72830
2003-09-30,9.07844232,13.063,12.4821536686689,24.7751338502627,3.37931
2003-12-31,9.03905305,13.077,12.4866198040793,24.8752447547688,3.35616
2004-03-31,9.06974208,13.079,12.5105846169343,26.9809033896304,3.98900
2004-06-30,9.17263212,13.089,12.5413384051187,26.2468935578356,2.69542
2004-09-30,9.24454924,13.100,12.5573127002561,28.5029499483432,4.20280
2004-12-31,9.13126891,13.108,12.568874825464,31.5841795300682,4.17495
2005-03-31,9.14312414,13.115,12.5853561527206,33.5754308976624,4.23280
2005-06-30,9.31350234,13.129,12.6050772483162,33.2644599030505,4.00262
2005-09-30,9.26620346,13.135,12.621244560987,33.1817106397514,3.71319
2005-12-31,9.36397280,13.146,12.6363589960956,36.109965844743,5.02545
2006-03-31,9.42894429,13.157,12.6507850504956,37.6431443279275,4.50508
2006-06-30,9.53212222,13.163,12.6569477120075,39.3947599707115,5.94916
2006-09-30,9.64324041,13.177,12.6692337610539,40.9211959061519,6.22316
2006-12-31,9.99335113,13.184,12.696191724214,38.7273890187269,6.46412
2007-03-31,9.70654966,13.196,12.7148892694948,39.669229381379,7.00280
2007-06-30,9.87257113,13.207,12.7291109897244,37.5532366791567,6.31868
2007-09-30,9.67292316,13.215,12.7440979037957,38.6082107343612,6.70241
2007-12-31,9.89614356,13.229,12.7598325147912,40.3395515379881,5.51181
2008-03-31,10.15219199,13.232,12.7664905322604,43.4682429853579,6.28272
2008-06-30,10.07466580,13.236,12.7825400641431,47.6673891102637,7.75194
2008-09-30,9.94314961,13.240,12.7797598397436,52.0680767585663,9.04523
2008-12-31,9.80091288,13.241,12.770390961711,47.2589536208629,10.19900
2009-03-31,9.90361733,13.232,12.7252789076727,42.1918228217268,9.35961
2009-06-30,9.97583972,13.257,12.7750093870537,41.2479721829496,8.87290
2009-09-30,10.04861888,13.268,12.793925310771,41.8413009311716,11.75115
2009-12-31,9.87863558,13.277,12.7989355545186,44.2835749835699,13.31828
2010-03-31,9.82593172,13.288,12.8196604474636,44.6051177830685,15.31532
2010-06-30,9.89107646,13.299,12.8251065427375,45.7830621099315,13.65639
2010-09-30,9.84850087,13.311,12.8387715343532,45.2631886720984,10.30928
2010-12-31,9.83166335,13.321,12.8561884199668,48.7077165694852,9.16335
2011-03-31,9.66007793,13.329,12.8492166849334,50.6552123173754,8.98437
2011-06-30,10.25818172,13.334,12.8609692730891,53.2234897985009,8.91473
2011-09-30,9.88524386,13.334,12.8693661874861,53.3772082039834,9.15888
2011-12-31,9.83321348,13.341,12.879024488311,58.196203548607,8.39416
2012-03-31,9.89638602,13.347,12.8890625556345,57.5969602116381,7.16846
2012-06-30,9.77595775,13.352,12.8935249901345,56.1717166936912,10.14235
2012-09-30,10.05495906,13.360,12.8935098291998,63.887982509072,9.76027
2012-12-31,9.74253399,13.365,12.8931833150612,57.4186395618247,10.10101
2013-03-31,9.86829288,13.372,12.9023925182444,56.9154724313191,11.70569
2013-06-30,9.86182208,13.378,12.9005222564976,55.9089665925543,10.66236
2013-09-30,9.98690164,13.385,12.8990667471209,60.9508885116342,10.76443
2013-12-31,9.72799333,13.394,12.9054115659175,56.5723211703478,10.55046
2014-03-31,10.01843498,13.399,12.9045690567213,57.562370133668,6.88623
2014-06-30,9.98924869,13.409,12.9096509654494,56.1515530904298,6.86131
2014-09-30,10.00225603,13.417,12.9171941674607,56.3096204384014,6.76056
2014-12-31,9.93272899,13.424,12.9090841206757,55.6462908047204,4.97925
2015-03-31,10.12477074,13.431,12.9182364615698,50.4391852280369,6.58263
2015-06-30,10.10788498,13.440,12.9227865611121,49.2195046171889,5.87432
2015-09-30,9.98247405,13.448,12.9347291466514,49.7249749516861,4.61741
2015-12-31,10.23733317,13.457,12.9500966682421,46.8812499322889,6.45586
2016-03-31,10.15333179,13.469,12.9557642124938,44.8730084456508,5.65046
2016-06-30,10.00999191,13.477,12.9765414876289,46.0000286833101,6.19355
2016-09-30,10.27690066,13.487,12.9719176153095,46.1433080193608,5.29634
2016-12-31,10.28261919,13.493,12.9769804320002,47.3441359592345,2.72277
2017-03-31,10.00694865,13.496,12.9797257495392,46.0338422482857,2.36318
2017-06-30,10.14711742,13.505,12.98364765986,48.6411095445955,1.45808
2017-09-30,10.30427511,13.512,13.001773758458,46.7504618702402,2.39521
2017-12-31,10.15452305,13.520,13.0135815955936,48.9823854186466,3.73494
2018-03-31,10.07992020,13.529,13.0350982692164,48.9335177916271,4.73876
2018-06-30,10.23532844,13.535,13.0404778513381,51.3328937577218,3.95210
2018-09-30,10.12595524,13.541,13.0568969321024,53.4874859930396,5.61404
2018-12-31,10.16429838,13.547,13.0650624131419,54.9967551609792,5.11034
2019-03-31,10.16613946,13.552,13.0573728683849,51.4053554314073,7.07657
2019-06-30,10.34270972,13.558,13.0732790868932,50.8561317735119,8.52535
2019-09-30,10.11946686,13.561,13.0579269553028,48.5746141351348,6.42303
2019-12-31,10.15807733,13.561,13.059937321243,48.8746359422802,8.61878
2020-03-31,10.25062008,13.562,13.0484817585745,46.669777514909,6.60888
2020-06-30,9.94678636,13.451,12.8266118007397,42.8993490491292,5.20170
2020-09-30,10.49974480,13.539,13.0558368141339,44.5407664454921,5.53067
2020-12-31,10.46152149,13.566,13.0807659985236,46.0401652402903,4.95239
2021-03-31,10.04175951,13.571,13.0945667198043,50.9508898947738,4.43595
2021-06-30,10.37444774,13.538,13.0340512383339,56.4868488137525,5.32581
2021-09-30,10.26287371,13.576,13.0995593054677,58.0313503000086,4.82436
2021-12-31,10.20965460,13.585,13.0959010201762,61.9691975010036,4.96929
2022-03-31,10.32279121,13.587,13.1114183832318,63.5977338069113,5.40919
2022-06-30,10.34957034,13.591,13.1180847567167,69.5065483030019,6.48455
2022-09-30,10.14347191,13.600,13.131439730643,70.2322076793975,6.04172
2022-12-31,10.12252450,13.605,13.1339802705699,68.3229935062451,5.66489
2023-03-31,10.09767234,13.613,13.1484206923905,65.8773133404234,6.03563
2023-06-30,10.16900558,13.622,13.1559001990686,60.9152302862644,5.02721
2023-09-30,10.10943506,13.629,13.1736640425999,63.6894811153196,6.38733
